school_name,address,postal_code,mrt_desc,bus_desc,latitude,longitude
JUNYUAN SECONDARY SCHOOL,11   TAMPINES STREET 84,528933,"TAMPINES MRT, TAMPINES WEST MRT","69, 291, 293",1.35361315263537,103.933886165824
JURONG PIONEER JUNIOR COLLEGE,21   Teck Whye Walk,688258,Choa Chu Kang / Bt Panjang / Phoenix Station (LRT),"975, 190, 985",1.38437406410733,103.75437461519
JURONG PRIMARY SCHOOL,320  JURONG EAST Street 32,609476,"Lakeside MRT Station, Jurong East MRT Station",333,1.34843859698946,103.733156566858
JURONG SECONDARY SCHOOL,31   YUAN CHING ROAD,618652,LAKESIDE MRT,"30, 49, 98, 98A, 154, 240, 246",1.33002032220942,103.723952961648
JURONG WEST PRIMARY SCHOOL,30   JURONG WEST ST 61,648368,Pioneer MRT Station,192,1.33917519796104,103.698803732244
JURONG WEST SECONDARY SCHOOL,61   JURONG WEST STREET 65,648348,"BOON LAY MRT, PIONEER MRT","30, 154, 157, 180, 187, 198, 242",1.33525634688323,103.702098904443
JURONGVILLE SECONDARY SCHOOL,202  JURONG EAST AVENUE 1,609790,"JURONG EAST MRT, CHINESE GARDEN MRT","98, 98M, 99, 157, 185, 187, 198, 334, 502",1.35128862770284,103.728907710089
JUYING PRIMARY SCHOOL,31   JURONG WEST STREET 91,649037,Boon Lay MRT Station (Jurong Point),SBS 99 (From Clementi Inter-change) SBS 241 (From Boon Lay Inter-change),1.4426347903311,103.800040119743
JUYING SECONDARY SCHOOL,33   JURONG WEST STREET 91,649038,"BOON LAY MRT, PIONEER MRT, JOO KOON MRT","99, 241",1.3387227734133,103.687310264575
KEMING PRIMARY SCHOOL,90   BUKIT BATOK EAST AVENUE 6,659762,Bukit Batok,"61,66,77,106,157,174,178,963",1.34552849960874,103.756449399351
KENT RIDGE SECONDARY SCHOOL,147  WEST COAST ROAD,127368,"CLEMENTI MRT, HAW PAR VILLA MRT","30, 51, 143, 175, 176, 201, 282",1.30122773426098,103.764889617566
KHENG CHENG SCHOOL,15   LORONG 3 TOA PAYOH,319580,Braddell,"SBS 235,56,73,88,157,159,163,231,",1.3373381935639,103.847148501824
KONG HWA SCHOOL,350  GUILLEMARD ROAD,399772,Dakota,"Service 7,70,70M,197(to Guillemard Road)",1.31099674009193,103.888352029067
KRANJI PRIMARY SCHOOL,11   CHOA CHU KANG STREET 54,689189,Yew Tee MRT,"Bus No 307, 302",1.39356050497104,103.747362720939
KRANJI SECONDARY SCHOOL,61   CHOA CHU KANG STREET 51,689333,"CHUA CHU KANG MRT, YEW TEE MRT",302,1.39005109871311,103.741190664845
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8    BISHAN STREET 13,579793,Bishan MRT Station,"54, 56, 410, 410G",1.34939813669536,103.855018233311
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10   BISHAN STREET 13,579795,BISHAN MRT,"54, 56, 410G, 410W",1.35017129930314,103.854983746416
LAKESIDE PRIMARY SCHOOL,161  Corporation Walk,618310,Lakeside MRT,"30, 49, 98, 98M",1.33820397704287,103.718089546664
LIANHUA PRIMARY SCHOOL,2    BUKIT BATOK STREET 52,659243,Bukit Gombak/Bukit Batok,945,1.35424191127295,103.754165828711
LOYANG VIEW SECONDARY SCHOOL,12   PASIR RIS STREET 11,519073,PASIR RIS MRT,"12, 21, 39, 53, 81, 109, 359, 518",1.36658417167238,103.956944585725
MAHA BODHI SCHOOL,10   UBI AVENUE 1,408931,"Eunos Station (Transfer Bus No.63, 63M) Ubi Station (Transfer Bus No. 137)","5,8,15,22,25,45,51,55,59,61,63,63M,65,66,93,94,854",1.32858023873554,103.901306904157
MANJUSRI SECONDARY SCHOOL,20   UBI AVENUE 1,408940,"UBI MRT, MACPHERSON MRT","5, 8, 15, 22, 25, 45, 51, 55, 59, 61, 63, 63M, 65, 66, 93, 94, 137, 854",1.32747123084846,103.901719963831
MARIS STELLA HIGH SCHOOL,25   MOUNT VERNON ROAD,368051,BARTLEY MRT,"28, 93, 129, 158",1.34139473351039,103.877852484979
MARSILING PRIMARY SCHOOL,31   WOODLANDS CENTRE ROAD,738927,Marsiling MRT Station,"856, 911, 912",1.43383904037059,103.773643013846
MARSILING SECONDARY SCHOOL,12   MARSILING ROAD,739110,MARSILING MRT,"913, 911",1.43664424769955,103.776008090454
MARYMOUNT CONVENT SCHOOL,20   Marymount Road,297754,Braddell MRT Station or  Caldecott MRT Station,"141, 235",1.34036676987375,103.840021064426
