licence_numbers,business_name,name_of_license,premise_address,trimmed_address,latitude,longitude
CE19987N000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"51 UPPER SERANGOON ROAD #01-30-32,#01-41-49, THE POIZ CENTRE S(347697)",51 UPPER SERANGOON ROAD ,1.33135550782584,103.868150095119
CE19A43K000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"351 ANCHORVALE ROAD #01-05, MULTI STOREY CAR PARK S(540351)",351 ANCHORVALE ROAD ,1.39332786581517,103.886617625113
CE19H85N000,DON DON DONKI,PAN PACIFIC RETAIL MANAGEMENT (SINGAPORE) PTE. LTD.,"6 EU TONG SEN STREET #B1-11-24,#B1-27B,#B1-28A,#B1-27A,#B1-27C,#B1-27E,#B1-28,#B1-27,#B1-27D,#B1-28B,#B1-44-51, THE CENTRAL S(059817)",6 EU TONG SEN STREET ,1.2888737988701,103.846797382693
CE19I23N000,MEIDI-YA SUPERMARKET,MEIDI-YA SINGAPORE CO (PTE) LTD,"1 KIM SENG PROMENADE #B2-116,#B2-112,#B2-113,#B2-121,#B2-117,#B2-114,#B2-118,#B2-111,#B2-115,#B2-119,#B2-120, GREAT WORLD CITY S(237994)",1 KIM SENG PROMENADE ,1.29380235105066,103.831757911057
CE19K92V000,HAO MART,HAO MART PTE. LTD.,"116 JALAN TENTERAM #01-02, MULTI STOREY CAR PARK S(320116)",116 JALAN TENTERAM ,1.32769993704525,103.861236369481
E02026P000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"20 EASTWOOD ROAD #01-07/09, EASTWOOD CENTRE S(486442)",20 EASTWOOD ROAD ,1.32154249881548,103.955535617961
E02027N000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"80 MARINE PARADE ROAD #B1-84, PARKWAY PARADE SHOPPING CENTRE S(449269)",80 MARINE PARADE ROAD ,1.30091736056425,103.90533928065
E02028L000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"266 SERANGOON CENTRAL DRIVE #01-255, S(550266)",266 SERANGOON CENTRAL DRIVE ,1.3532321297355,103.8714723783
E02030B000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"306 UBI AVENUE 1 #01-185, S(400306)",306 UBI AVENUE 1 ,1.32987117232209,103.901930369733
E02032V000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"539A BEDOK NORTH STREET 3 #01-477, BEDOK NORTH AREA OFFICE S(461539)",539A BEDOK NORTH STREET 3 ,1.33240230571086,103.925500595677
E02033X000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"509 BEDOK NORTH STREET 3 #01-121, S(460509)",509 BEDOK NORTH STREET 3 ,1.33317541870197,103.931265025162
E02034P000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"114 ALJUNIED AVENUE 2 #01-75, S(380114)",114 ALJUNIED AVENUE 2 ,1.32172296225797,103.886811795181
E02035N000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"212 BEDOK NORTH STREET 1 #01-147, S(460212)",212 BEDOK NORTH STREET 1 ,1.32594069200441,103.931640022396
E02039E000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"152B SERANGOON NORTH AVENUE 1 #01-384, S(552152)",152B SERANGOON NORTH AVENUE 1 ,1.36979940374161,103.87303579046
E02041X000,PRIME SUPERMARKET,PRIME SUPERMARKET LIMITED,"25A CHAI CHEE ROAD #01-459, S(461025)",25A CHAI CHEE ROAD ,1.32328959946584,103.924149636877
E02042P000,-,PRIME SUPERMARKET LIMITED,"803 KING GEORGE'S AVENUE #01-154, S(200803)",803 KING GEORGE'S AVENUE ,1.30811749102335,103.861188606169
E02045K000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"118 ALJUNIED AVENUE 2 #01-100, S(380118)",118 ALJUNIED AVENUE 2 ,1.32000040187831,103.887363064677
E02047E000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"348 BEDOK ROAD #01-01, BEDOK SHOPPING COMPLEX S(469560)",348 BEDOK ROAD ,1.331426846711,103.94825705568
E02072C000,FAIRPRICE,TEO BOBBY,"29 CHAI CHEE AVENUE #01-62, S(460029)",29 CHAI CHEE AVENUE ,1.32476040143251,103.924370232312
E02096K000,fairprice,NTUC FAIRPRICE CO-OPERATIVE LTD,"6 MARINE PARADE CENTRAL, NTUC FAIRPRICE SUPERMARKET S(449411)","6 MARINE PARADE CENTRAL, NTUC FAIRPRICE SUPERMARKET S(449411)",1.30261163483383,103.904983086812
E02140N000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"1 JALAN BERSEH #B1-02, NEW WORLD CENTRE S(209037)",1 JALAN BERSEH ,1.30778509510261,103.857010982845
E03034J000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"115 BEDOK NORTH ROAD #01-319, S(460115)",115 BEDOK NORTH ROAD ,1.33143368026417,103.936865404278
E73010V000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"11 UPPER BOON KENG ROAD #01-901, S(380011)",11 UPPER BOON KENG ROAD ,1.31423937033551,103.870914031459
E75097C000,PRIME SUPERMARKET,PRIME SUPERMARKET (1996) PTE LTD,"18 BEDOK SOUTH ROAD #01-87, S(460018)",18 BEDOK SOUTH ROAD ,1.32062504871279,103.934734222428
E79179V000,U Stars Supermarket,U STARS PTE. LTD.,"510 BEDOK NORTH STREET 3 #01-33, S(460510)",510 BEDOK NORTH STREET 3 ,1.33212313291916,103.93105149637
E82118V000,HAO MART,HAO MART PTE. LTD.,"537 BEDOK NORTH STREET 3 #01-555, S(460537)",537 BEDOK NORTH STREET 3 ,1.33177300757048,103.924236461237
E83157K000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"934 EAST COAST ROAD, S(459125)","934 EAST COAST ROAD, S(459125)",1.31230757275549,103.925234546756
E85090E000,HAO MART,HAO MART PTE. LTD.,"120 POTONG PASIR AVENUE 1 #01-812, S(350120)",120 POTONG PASIR AVENUE 1 ,1.33545353246777,103.863387980398
E89116J000,WAHOO,WAHOO SEAFOODS PTE. LTD.,"57 JALAN TUA KONG, S(457253)","57 JALAN TUA KONG, S(457253)",1.32989760216292,103.884632427771
E95315V000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"77 CIRCUIT ROAD #01-464/6, S(370077)",77 CIRCUIT ROAD ,1.32855656206109,103.885349899665
E98161V000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"255 EAST COAST ROAD, S(428932)","255 EAST COAST ROAD, S(428932)",1.30726106591172,103.934799737098
J02008P000,-,ANG KEN CHUA,"410 CHOA CHU KANG AVENUE 3 #01-341, S(680410)",410 CHOA CHU KANG AVENUE 3 ,1.38062798768557,103.741520103731
J02009N000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"544 JURONG WEST STREET 42 #01-97/99, S(640544)",544 JURONG WEST STREET 42 ,1.35239358298744,103.71575950591
J02010E000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"475 CHOA CHU KANG AVENUE 3 #01-01, S(680475)",475 CHOA CHU KANG AVENUE 3 ,1.37789727709418,103.739015486021
J02011C000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"464 UPPER BUKIT TIMAH ROAD, S(678077)","464 UPPER BUKIT TIMAH ROAD, S(678077)",1.37956121236613,103.761188866252
J02013A000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"221 BOON LAY PLACE #02-200, BOON LAY SHOPPING CENTRE S(640221)",221 BOON LAY PLACE ,1.34633552457315,103.712430373455
J02016P000,Seng Eng,NG TOH TET,"442 JURONG WEST AVENUE 1 #01-756, S(640442)",442 JURONG WEST AVENUE 1 ,1.35151847519437,103.719496480131
J02017N000,PRIME SUPERMARKET,PRIME SUPERMARKET (1996) PTE LTD,"373 BUKIT BATOK STREET 31 #01-248, PRIME BUILDING S(650373)",373 BUKIT BATOK STREET 31 ,1.35892457118178,103.750397174291
J02018L000,PRIME SUPERMARKET,PRIME SUPERMARKET (1996) PTE LTD,"253 CHOA CHU KANG AVENUE 1 #B1-07/10, S(680253)",253 CHOA CHU KANG AVENUE 1 ,1.37677749544409,103.744548948082
J02019K000,PRIME SUPERMARKET,PRIME SUPERMARKET LIMITED,"962 JURONG WEST STREET 91 #01-300, S(640962)",962 JURONG WEST STREET 91 ,1.34201784072118,103.691483114884
J02020B000,PRIME SUPERMARKET,PRIME SUPERMARKET (1996) PTE LTD,"142 TECK WHYE LANE #01-281, S(680142)",142 TECK WHYE LANE ,1.38079049641025,103.75195441174
J02021A000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"376 BUKIT BATOK STREET 31 #01-116, S(650376)",376 BUKIT BATOK STREET 31 ,1.35831705249927,103.749579868748
J03027B000,JURONG ISLAND MINIMART,KADER HASNA MARICAN,"17 KIAN TECK LANE #01-65, S(627851)",17 KIAN TECK LANE ,1.33314578370484,103.695248109449
J03056N000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"492 JURONG WEST STREET 41, #01-24/26/28 S(640492) #01-24/26/28","492 JURONG WEST STREET 41, ",1.34994543559348,103.725180466645
J87134E000,G & G WHOLESALE & MARKETING,BALASUBRAMANIYAN KANNADASAN,"257 KRANJI ROAD, 1ST STOREY S(739503) 1ST STOREY","257 KRANJI ROAD, 1ST STOREY S(739503) 1ST STOREY",1.28835180478639,103.802862217611
J92067N000,MCP FAIRMART,MCP FAIRMART PTE. LTD.,"371 BUKIT BATOK STREET 31 #01-324, S(650371)",371 BUKIT BATOK STREET 31 ,1.35925940866068,103.75069463109
